# Mean	Std	Min	Max
0.325117	0.586819	0.024395	2.685321
0.304340	0.520939	0.015852	2.359661
0.302357	0.481543	0.022767	2.186525
0.333522	0.509570	0.027080	2.275099
0.296901	0.460848	0.019692	2.063039
0.300777	0.455073	0.016508	1.990626
0.300985	0.452902	0.017931	2.035717
0.275832	0.446764	0.017945	2.023373
0.279881	0.445256	0.028215	2.033737
0.282830	0.436940	0.017996	1.836604
0.291113	0.398232	0.019392	1.735421
0.295510	0.413391	0.009624	1.820509
0.280515	0.417272	0.018602	1.817152
0.280136	0.442721	0.009969	1.924411
0.277771	0.421710	0.011684	1.814310
0.293841	0.424852	0.018660	1.850271
0.264402	0.391454	0.030675	1.703680
0.280605	0.413689	0.018783	1.821135
0.291898	0.428079	0.014480	1.876081
0.279703	0.401470	0.010868	1.750755
0.248740	0.375935	0.012131	1.611588
0.267435	0.382562	0.014900	1.598198
0.242629	0.364959	0.013258	1.581143
0.272944	0.406074	0.029365	1.728367
0.282703	0.411206	0.018148	1.767875
0.278854	0.409048	0.023903	1.771304
0.250776	0.405095	0.021688	1.763989
0.284898	0.402013	0.011823	1.774586
0.276629	0.402345	0.010700	1.748931
0.285256	0.410997	0.024884	1.670569
0.259654	0.402172	0.016753	1.744416
0.273200	0.376076	0.015428	1.548356
0.277447	0.418315	0.010087	1.691783
0.245128	0.378380	0.011490	1.686483
0.265296	0.372288	0.021256	1.570009
0.266893	0.362191	0.020071	1.533634
0.234292	0.344241	0.007013	1.505123
0.257123	0.390020	0.012979	1.699994
0.259768	0.366787	0.010600	1.555700
0.269272	0.367962	0.015198	1.507401
0.238128	0.388703	0.019542	1.683820
0.257382	0.364640	0.015641	1.515375
0.257628	0.370919	0.012348	1.571540
0.265486	0.346587	0.014165	1.440699
0.253082	0.373223	0.012798	1.629557
0.266366	0.365822	0.006560	1.586339
0.251650	0.354973	0.009212	1.439544
0.281643	0.382067	0.017902	1.527646
0.261932	0.391239	0.012477	1.709092
0.258346	0.375907	0.025715	1.623847
0.251514	0.376951	0.021227	1.519102
0.237847	0.338566	0.007793	1.440649
0.263514	0.359329	0.021763	1.472512
0.271673	0.345087	0.018545	1.477057
0.269339	0.386448	0.013023	1.594851
0.265295	0.363988	0.013483	1.503635
0.273620	0.363984	0.012676	1.493316
0.240401	0.335524	0.006242	1.427012
0.274986	0.383810	0.013494	1.549967
0.243381	0.349887	0.016344	1.399343
0.269038	0.356538	0.012811	1.529097
0.261220	0.367551	0.013168	1.533054
0.275099	0.359020	0.010850	1.575399
0.266057	0.381339	0.005495	1.624077
0.278408	0.353370	0.018692	1.413158
0.244154	0.332242	0.023095	1.383092
0.265956	0.367131	0.015404	1.457136
0.261809	0.362456	0.021620	1.567143
0.264815	0.338735	0.020463	1.377694
0.272942	0.380637	0.012106	1.598871
0.277080	0.373012	0.010120	1.515342
0.259204	0.341662	0.013634	1.378112
0.273908	0.384365	0.013714	1.551847
0.272482	0.371969	0.016522	1.613485
0.289010	0.383220	0.033322	1.683405
0.256711	0.339463	0.010084	1.458636
0.259841	0.341010	0.019103	1.432941
0.259424	0.369621	0.015763	1.503846
0.275211	0.340662	0.015619	1.408325
0.275655	0.342952	0.006273	1.432153
0.258667	0.338609	0.019259	1.392064
0.252197	0.339463	0.011832	1.317113
0.268760	0.341403	0.027698	1.381047
0.241381	0.334564	0.019424	1.385453
0.260951	0.326493	0.024180	1.408966
0.276138	0.342279	0.009268	1.393826
0.276685	0.360633	0.028868	1.496456
0.263366	0.363423	0.029326	1.539717
0.258589	0.334061	0.019642	1.409434
0.256248	0.317870	0.018235	1.274307
0.255496	0.341685	0.020083	1.328811
0.288218	0.376053	0.010020	1.485090
0.241944	0.304037	0.009616	1.236898
0.276755	0.346886	0.013618	1.307625
0.265359	0.393862	0.013869	1.651010
0.288640	0.366421	0.022237	1.442013
0.248997	0.334906	0.014900	1.432114
0.261327	0.351189	0.013021	1.508233
0.265689	0.342570	0.017779	1.438218
0.261753	0.340807	0.024427	1.428363
0.282078	0.350020	0.011612	1.400351
0.255079	0.330256	0.019950	1.356708
0.248939	0.338055	0.012356	1.404706
0.265210	0.337642	0.019456	1.345948
0.259016	0.352969	0.016737	1.448582
0.269305	0.356438	0.019072	1.430599
0.245899	0.340410	0.008037	1.348408
0.247997	0.311835	0.023335	1.309790
0.267439	0.324614	0.017371	1.308901
0.248560	0.346404	0.010310	1.440967
0.263643	0.322878	0.012554	1.332662
0.249547	0.339156	0.017995	1.360807
0.261492	0.287107	0.019603	1.055760
0.264638	0.321968	0.021999	1.323742
0.247599	0.323995	0.019658	1.337631
0.259184	0.323699	0.008607	1.198752
0.276745	0.346876	0.019437	1.397216
0.262356	0.301472	0.018411	1.198642
0.244906	0.307656	0.013722	1.238746
0.270408	0.326172	0.022283	1.292637
0.250988	0.328032	0.014169	1.384152
0.234607	0.292203	0.025578	1.158826
0.269797	0.349354	0.015027	1.382616
0.233250	0.292718	0.022785	1.203662
0.258549	0.328751	0.014247	1.241793
0.259722	0.311036	0.022513	1.271070
0.273250	0.316545	0.013881	1.354016
0.266211	0.332091	0.012265	1.384361
0.289567	0.341808	0.022511	1.388530
0.259932	0.326985	0.021066	1.373316
0.269302	0.324894	0.008884	1.321795
0.239065	0.317510	0.010941	1.253976
0.275831	0.328292	0.008960	1.240071
0.256290	0.336518	0.019332	1.304405
0.252065	0.304318	0.016510	1.240572
0.281298	0.364364	0.018780	1.421558
0.240317	0.290482	0.016838	1.153558
0.261177	0.304740	0.015091	1.199495
0.253382	0.308413	0.008729	1.190709
0.256600	0.327595	0.014894	1.350853
0.283210	0.368122	0.022756	1.451784
0.259129	0.330898	0.004293	1.226608
0.249016	0.332249	0.006130	1.260458
0.273520	0.309834	0.017467	1.246260
0.246428	0.292476	0.017620	1.167469
0.293355	0.365321	0.008726	1.557351
0.268707	0.333606	0.012464	1.156059
0.280152	0.323964	0.014511	1.209561
0.251456	0.307293	0.015541	1.207866
0.264146	0.297235	0.021618	1.158719
0.274446	0.311270	0.008270	1.251099
0.256452	0.313178	0.021434	1.213297
0.265248	0.309469	0.033689	1.218478
0.259642	0.310509	0.010230	1.156939
0.234591	0.305759	0.020301	1.233191
0.252614	0.307091	0.016031	1.074108
0.280736	0.370221	0.008355	1.496113
0.250878	0.310333	0.012445	1.273886
0.240511	0.284176	0.012525	1.081893
0.276038	0.325624	0.023451	1.278952
0.254431	0.316072	0.017078	1.222820
0.273115	0.340348	0.023113	1.285079
0.232100	0.284127	0.010438	1.158726
0.265836	0.331541	0.021584	1.267148
0.250983	0.309273	0.010485	1.152398
0.251116	0.304500	0.024087	1.152910
0.241628	0.292313	0.020859	1.280964
0.255222	0.313348	0.010659	1.160434
0.271842	0.337500	0.016323	1.343753
0.251066	0.291033	0.023186	1.202145
0.241442	0.302750	0.020207	1.228272
0.253875	0.283677	0.026818	1.118861
0.277238	0.296289	0.016353	1.202337
0.277218	0.332171	0.023585	1.217396
0.274472	0.317241	0.022582	1.300093
0.262544	0.320998	0.019656	1.303773
0.256110	0.294225	0.015128	1.205797
0.283022	0.291976	0.041899	1.143872
0.254583	0.352282	0.012279	1.477902
0.272933	0.355249	0.011944	1.347016
0.272456	0.337579	0.010554	1.402414
0.269977	0.299735	0.020792	1.215462
0.248115	0.312537	0.015367	1.289367
0.269388	0.312465	0.040137	1.339473
0.245977	0.295621	0.025950	1.251832
0.249160	0.276467	0.031852	1.023551
0.268638	0.324866	0.013434	1.311046
0.258009	0.337493	0.020066	1.321764
0.266710	0.287748	0.014479	1.149812
0.240589	0.257203	0.017937	1.082693
0.273504	0.326358	0.022676	1.207777
0.290316	0.326618	0.026189	1.175285
0.270191	0.312857	0.012964	1.256326
0.261849	0.301542	0.009369	1.106761
0.249114	0.271655	0.009085	1.067908
0.262717	0.307166	0.024226	1.203225
0.266448	0.326380	0.019425	1.312216
0.281726	0.303873	0.026078	1.125990
0.256604	0.256903	0.036206	0.999003
0.246324	0.278959	0.007258	1.096153
0.284191	0.303362	0.051501	1.196050
0.276111	0.313887	0.013078	1.312321
0.250095	0.280405	0.018158	1.063554
0.282449	0.313297	0.018196	1.297558
0.248669	0.269062	0.021423	1.025347
0.279977	0.320705	0.012428	1.237978
0.274206	0.306856	0.007517	1.246915
0.260195	0.278255	0.013760	1.075327
0.262132	0.305591	0.013283	1.088018
0.257607	0.270915	0.021456	0.989968
0.254610	0.284747	0.033009	1.196918
0.271666	0.271108	0.021004	1.116581
0.249642	0.283881	0.011816	1.114621
0.255108	0.283606	0.016200	0.930351
0.269727	0.284892	0.032249	1.029788
0.267353	0.280692	0.004863	0.932637
0.274273	0.285574	0.012377	1.094947
0.304455	0.311643	0.007034	1.125135
0.262688	0.313004	0.024427	1.275494
0.260789	0.310561	0.024774	1.180326
0.274363	0.264591	0.015801	1.039408
0.227221	0.267553	0.020038	1.089037
0.270983	0.321435	0.013679	1.140914
0.253462	0.259135	0.027873	1.074830
0.244777	0.240634	0.021929	0.850198
0.274799	0.279705	0.029694	1.079136
0.269029	0.258707	0.046511	1.016674
0.264607	0.263882	0.013235	1.020091
0.254655	0.299668	0.014034	1.077454
0.264484	0.303263	0.021312	1.195974
0.275295	0.294085	0.019819	1.035718
0.237031	0.235973	0.029255	0.848176
0.270190	0.292369	0.038118	1.221376
0.272630	0.269343	0.015298	1.043229
0.283561	0.321688	0.030160	1.229590
0.255988	0.290810	0.009978	1.067748
0.262844	0.262536	0.005599	1.088975
0.299453	0.288457	0.016995	1.177502
0.274515	0.263884	0.033434	0.908584
0.282541	0.316342	0.017239	1.059832
0.247862	0.264139	0.015074	1.084775
0.261699	0.277271	0.014807	1.107612
0.260567	0.287045	0.028571	1.102416
0.266517	0.283251	0.019086	1.123520
0.255545	0.271367	0.032564	0.947434
0.254315	0.282016	0.020252	1.044275
0.272605	0.297440	0.014120	1.114209
0.248501	0.299453	0.010451	1.187423
0.261024	0.308944	0.011499	1.233060
0.260034	0.292652	0.012927	1.074589
0.266321	0.311362	0.024022	1.217292
0.251003	0.254050	0.028012	0.996380
0.252033	0.274169	0.016311	1.064389
0.232539	0.241699	0.017452	0.837783
0.271317	0.293228	0.019970	1.196502
0.278107	0.300800	0.040002	1.087274
0.259970	0.260236	0.024337	0.925487
0.240945	0.261455	0.013552	0.973833
0.250108	0.275861	0.009752	1.022209
0.256217	0.247012	0.016992	0.929825
0.283361	0.312389	0.037844	1.272840
0.244707	0.285127	0.014549	1.152500
0.249872	0.250979	0.014742	0.984396
0.256059	0.248031	0.018331	1.008321
0.267319	0.286056	0.020895	1.056848
0.245610	0.267491	0.019591	1.058335
0.237050	0.273753	0.015213	1.002125
0.266283	0.269412	0.018194	0.911124
0.248570	0.239059	0.030172	1.019574
0.301845	0.305372	0.053148	1.230784
0.270120	0.281368	0.026916	1.005177
0.237417	0.274879	0.019264	1.043036
0.248241	0.247298	0.010470	0.869832
0.249583	0.282318	0.022036	1.163709
0.250623	0.269142	0.024886	1.114009
0.282328	0.289880	0.024996	1.079873
0.241054	0.242444	0.016746	0.944746
0.265361	0.252671	0.028792	0.959307
0.258617	0.285318	0.013447	0.994744
0.240798	0.268921	0.007907	1.054148
0.280262	0.265895	0.026657	1.025547
0.233090	0.262758	0.016850	1.126780
0.258015	0.264058	0.011749	1.036791
0.244422	0.268797	0.032726	1.032497
0.244446	0.275976	0.013611	1.110438
0.260611	0.284915	0.016539	1.152846
0.255925	0.255981	0.024173	0.898283
0.261759	0.266101	0.013233	0.987447
0.265580	0.290988	0.009054	1.165364
0.257863	0.265550	0.009996	0.881138
0.253850	0.260627	0.026931	1.039014
0.247470	0.269123	0.019196	0.959261
0.235663	0.242789	0.029634	0.895898
0.282871	0.295949	0.020360	1.090223
0.266679	0.271995	0.014303	0.953169
0.246204	0.258074	0.018488	0.969685
0.238612	0.244364	0.024854	0.883705
0.259389	0.271383	0.020640	0.975570
0.271946	0.286576	0.026326	1.052084
0.257036	0.281158	0.017087	0.967169
0.250959	0.286518	0.011407	1.249519
0.244398	0.267443	0.015446	0.999797
0.269067	0.300711	0.017574	1.207561
0.264769	0.281987	0.036620	1.185685
0.243769	0.261321	0.020489	1.000252
0.239618	0.233009	0.018090	0.932217
0.234604	0.253276	0.020542	0.923168
0.251595	0.268635	0.014588	1.112404
0.255356	0.278970	0.031879	1.015580
0.262407	0.252577	0.009395	0.921718
0.250377	0.260166	0.017036	0.994720
0.263147	0.306397	0.022922	1.216650
0.264492	0.308263	0.012870	1.172239
0.248657	0.255902	0.021264	0.906320
0.260005	0.254429	0.045994	1.004709
0.245232	0.263405	0.030501	1.012473
0.255152	0.259027	0.010425	0.993927
0.257630	0.237481	0.033994	0.931019
0.243893	0.273090	0.022525	1.013060
0.258184	0.273727	0.014695	1.046213
0.251264	0.273170	0.027989	0.970705
0.270367	0.290935	0.026684	1.121687
0.247855	0.267770	0.008659	0.943483
0.256987	0.292394	0.024507	1.129436
0.234630	0.239771	0.019721	0.830228
0.243478	0.255023	0.028983	0.862655
0.246898	0.270011	0.010805	1.064603
0.256492	0.265002	0.038023	1.146985
0.270561	0.287522	0.012818	1.047185
0.255436	0.251460	0.009319	0.807445
0.227985	0.236762	0.024043	0.810449
0.245503	0.252059	0.016392	1.044960
0.244310	0.259535	0.025252	1.007172
0.275755	0.307412	0.023813	0.991460
0.239402	0.275055	0.028312	1.045913
0.256189	0.233374	0.016736	0.955114
0.240428	0.280141	0.011696	1.071385
0.255468	0.300872	0.021983	1.245383
0.252985	0.281820	0.022121	0.923851
0.224706	0.217485	0.033904	0.894579
0.258641	0.252793	0.033176	0.842029
0.245692	0.240272	0.013092	0.927719
0.245809	0.261323	0.035316	0.970889
0.240599	0.254346	0.013421	0.878147
0.250503	0.278725	0.019670	1.075997
0.246036	0.259485	0.024243	0.960956
0.251988	0.257004	0.019440	0.932566
0.236663	0.226225	0.027560	0.855319
0.252266	0.271241	0.024155	1.053326
0.238424	0.244578	0.046498	0.999622
0.220652	0.220233	0.034506	0.812982
0.244643	0.252474	0.011670	0.943618
0.222892	0.227430	0.034165	0.932372
0.235789	0.220145	0.017349	0.829302
0.272122	0.264943	0.023300	0.876463
