# Mean	Std	Min	Max
0.440606	0.533636	0.060911	2.303069
0.495161	0.547586	0.041600	2.318633
0.465774	0.560424	0.033574	2.304373
0.436048	0.554480	0.024904	2.304179
0.467331	0.538152	0.058533	2.302616
0.461928	0.533696	0.077731	2.295681
0.440124	0.539662	0.019000	2.314875
0.443080	0.537734	0.060600	2.284988
0.450745	0.554884	0.026006	2.272386
0.441916	0.566359	0.039306	2.251248
0.442914	0.557713	0.080012	2.292173
0.434714	0.532923	0.040126	2.245205
0.451819	0.568946	0.040164	2.276790
0.440238	0.541695	0.028228	2.294505
0.440643	0.569080	0.045255	2.299968
0.437737	0.544836	0.009559	2.299664
0.427279	0.547080	0.044712	2.301864
0.423062	0.531079	0.058706	2.303152
0.424663	0.548877	0.030026	2.304884
0.430158	0.552077	0.029099	2.303542
0.435421	0.539583	0.025738	2.303218
0.415745	0.539398	0.032547	2.300030
0.455075	0.552192	0.027009	2.298187
0.424947	0.562784	0.030404	2.301093
0.463501	0.543428	0.016807	2.301198
0.432123	0.562451	0.022083	2.297141
0.427638	0.540537	0.015968	2.284091
0.475373	0.556445	0.033035	2.281120
0.451715	0.546666	0.029831	2.278143
0.445154	0.540410	0.016632	2.227373
0.415132	0.538647	0.004414	2.234443
0.442890	0.527314	0.023050	2.227891
0.443096	0.541407	0.020086	2.270953
0.454857	0.531995	0.028788	2.164617
0.456993	0.540139	0.013502	2.133705
0.449408	0.509021	0.008621	2.126477
0.437831	0.499036	0.026692	2.077384
0.459563	0.555444	0.017451	2.285250
0.430643	0.530124	0.030094	2.175134
0.459174	0.531569	0.016178	2.082463
0.433433	0.528945	0.036245	2.140044
0.453977	0.550417	0.011320	2.121956
0.445149	0.522617	0.046734	2.134885
0.465501	0.522807	0.027757	2.101346
0.444549	0.524016	0.010673	2.182058
0.439426	0.511648	0.039742	2.113910
0.459232	0.519837	0.037832	2.117230
0.456579	0.551311	0.018345	2.241627
0.458208	0.532143	0.022952	2.108047
0.424803	0.509791	0.021155	2.106276
0.441537	0.485940	0.037120	2.096850
0.427220	0.521792	0.030657	2.155091
0.416051	0.492758	0.036177	2.080378
0.450888	0.513017	0.007300	2.046055
0.443407	0.538600	0.016850	2.194364
0.436455	0.497620	0.059510	2.053218
0.434997	0.492163	0.026234	2.042482
0.420927	0.494784	0.044628	2.004425
0.445717	0.509185	0.037795	2.046177
0.440522	0.493846	0.035287	2.054317
0.443624	0.506664	0.045410	2.001075
0.463862	0.521574	0.030288	2.019947
0.427917	0.523922	0.041017	2.145515
0.440209	0.500086	0.048861	2.018535
0.464441	0.505146	0.037701	2.074889
0.462269	0.497415	0.038863	2.015715
0.431870	0.477555	0.048018	1.954772
0.441502	0.492100	0.029983	1.990902
0.418155	0.512683	0.028329	1.992387
0.443148	0.496265	0.042611	1.960652
0.464279	0.485159	0.067682	1.986099
0.412124	0.481337	0.018348	1.920236
0.441849	0.515919	0.026596	2.094593
0.438234	0.486644	0.023127	1.988393
0.445324	0.502593	0.033142	2.125853
0.424091	0.470308	0.037518	1.992191
0.457307	0.505564	0.027948	2.051908
0.436261	0.491329	0.037879	1.991802
0.434102	0.508304	0.031357	2.059633
0.444625	0.496222	0.057200	1.992759
0.420116	0.476974	0.057519	1.982749
0.411685	0.449983	0.043654	1.865282
0.447999	0.482833	0.050021	1.943593
0.425535	0.493889	0.028446	1.956738
0.442571	0.484058	0.027410	1.982272
0.454698	0.491630	0.067202	1.983423
0.434889	0.509558	0.028671	1.920300
0.472333	0.488111	0.072614	1.924647
0.461711	0.505832	0.047287	1.983738
0.419877	0.443177	0.008682	1.810804
0.444877	0.486670	0.033948	2.008454
0.446082	0.466787	0.042146	1.836245
0.423246	0.455273	0.045145	1.848192
0.426197	0.433872	0.026850	1.887020
0.450949	0.466385	0.044073	1.899725
0.429215	0.436809	0.054113	1.777327
0.420270	0.467290	0.027598	1.901513
0.443580	0.467339	0.035100	1.810091
0.439892	0.473635	0.067780	1.975846
0.429732	0.482609	0.047192	1.872428
0.445963	0.463528	0.043632	1.885092
0.422160	0.473415	0.020116	1.884920
0.440109	0.445402	0.055307	1.933412
0.450353	0.481668	0.063610	1.985239
0.452471	0.472248	0.034588	1.873805
0.431117	0.470688	0.049059	1.983990
0.444192	0.490431	0.059124	1.911240
0.466826	0.477126	0.076722	1.898682
0.441488	0.465846	0.043411	1.836753
0.441067	0.438253	0.064197	1.769906
0.408454	0.441632	0.032102	1.776071
0.440574	0.466307	0.083032	1.824283
0.433561	0.444173	0.042751	1.799598
0.450737	0.476617	0.045659	2.011073
0.430194	0.452192	0.053454	1.826122
0.448608	0.451377	0.053281	1.954632
0.426970	0.452335	0.077658	1.916410
0.443958	0.448518	0.015557	1.880080
0.401475	0.440222	0.060272	1.841772
0.449687	0.458293	0.097885	1.862262
0.427048	0.435009	0.074466	1.887536
0.449306	0.464997	0.028559	1.891916
0.457884	0.471741	0.034089	1.888372
0.432074	0.475186	0.027381	1.878790
0.444940	0.492273	0.064134	1.910578
0.443012	0.473524	0.010690	1.871534
0.468571	0.476859	0.050040	1.806803
0.473100	0.452374	0.025742	1.761301
0.451037	0.457039	0.022742	1.832494
0.414828	0.457358	0.050137	1.720578
0.449984	0.450034	0.062012	1.769249
0.428040	0.468732	0.044478	1.832659
0.436698	0.452738	0.019936	1.733155
0.429688	0.458106	0.014828	1.762576
0.441295	0.458384	0.041083	1.800020
0.415767	0.392833	0.075034	1.626302
0.430285	0.454766	0.037977	1.746189
0.449247	0.429519	0.050244	1.798492
0.430599	0.436476	0.036735	1.761190
0.415281	0.458332	0.030421	1.713540
0.408274	0.441447	0.047157	1.695296
0.428853	0.445121	0.038101	1.687556
0.415629	0.426885	0.053096	1.714139
0.443578	0.460654	0.029159	1.853997
0.440484	0.438559	0.046788	1.699373
0.450735	0.433476	0.064002	1.786849
0.444321	0.459111	0.060870	1.838557
0.431899	0.449575	0.054761	1.763178
0.418050	0.463692	0.018594	1.910401
0.431088	0.436642	0.070910	1.723336
0.444312	0.447217	0.045017	1.874616
0.439880	0.435805	0.065176	1.789206
0.430318	0.411072	0.078905	1.655706
0.418792	0.424952	0.050658	1.677775
0.410200	0.429974	0.043276	1.788526
0.408221	0.418760	0.029108	1.781732
0.458238	0.443878	0.105487	1.892402
0.423482	0.441549	0.052199	1.781822
0.407683	0.416794	0.061197	1.706741
0.440021	0.442477	0.053756	1.791069
0.458289	0.441499	0.019539	1.696074
0.427207	0.411314	0.070918	1.712476
0.410821	0.421583	0.062182	1.716077
0.436977	0.439873	0.041070	1.670386
0.429396	0.417944	0.022161	1.750883
0.443974	0.457719	0.054796	1.698869
0.457295	0.480281	0.055317	1.823339
0.435855	0.441414	0.056502	1.827637
0.428643	0.421014	0.048653	1.668442
0.447376	0.430066	0.069314	1.839446
0.435330	0.443216	0.061459	1.620657
0.440405	0.430907	0.073860	1.801048
0.435629	0.420436	0.055145	1.761597
0.455103	0.415692	0.082150	1.672335
0.434998	0.433516	0.019877	1.750325
0.459078	0.443452	0.052363	1.749011
0.474067	0.461794	0.094721	1.833407
0.425381	0.401124	0.069777	1.671345
0.446942	0.439773	0.072733	1.848846
0.425556	0.385357	0.080342	1.553891
0.437026	0.427658	0.073119	1.699172
0.435983	0.443169	0.059084	1.693463
0.445191	0.422950	0.065046	1.650112
0.410181	0.435836	0.055624	1.714165
0.429807	0.441663	0.043998	1.691823
0.428617	0.422430	0.049936	1.698155
0.406733	0.422370	0.028408	1.704964
0.464827	0.435143	0.073491	1.686569
0.429216	0.396370	0.068269	1.599147
0.413031	0.429887	0.041530	1.678170
0.462884	0.441632	0.049950	1.693694
0.412305	0.423953	0.079460	1.753961
0.426854	0.416437	0.061746	1.676525
0.418973	0.450598	0.051012	1.751081
0.444701	0.404208	0.044358	1.478219
0.446055	0.409003	0.055641	1.723334
0.441963	0.420269	0.069885	1.506211
0.401710	0.404586	0.021215	1.524215
0.441590	0.433468	0.060430	1.604892
0.441870	0.432758	0.037449	1.626645
0.421323	0.415756	0.055541	1.677840
0.443467	0.447452	0.031224	1.829484
0.441845	0.448868	0.014307	1.683168
0.427070	0.414736	0.055692	1.688613
0.406147	0.403762	0.039019	1.670493
0.429012	0.440586	0.057838	1.818841
0.416458	0.407071	0.031549	1.637909
0.424034	0.387996	0.063460	1.564849
0.431422	0.423324	0.030758	1.731647
0.442089	0.396116	0.034269	1.587181
0.434344	0.439326	0.026850	1.643946
0.413390	0.405904	0.049435	1.663641
0.447180	0.393878	0.049975	1.548181
0.426975	0.406069	0.039866	1.662130
0.451164	0.441437	0.032894	1.756583
0.441574	0.426400	0.024762	1.713938
0.462322	0.451379	0.035009	1.751765
0.420305	0.399140	0.069662	1.584715
0.410649	0.387872	0.043690	1.561162
0.409456	0.403649	0.053825	1.654045
